index,0
NAME_CONTRACT_TYPE,197.9343719482422
CODE_GENDER,23.517873764038086
FLAG_OWN_CAR,607.2323608398438
FLAG_OWN_REALTY,546.57080078125
CNT_CHILDREN,55.14081573486328
AMT_INCOME_TOTAL,16.622188568115234
AMT_CREDIT_x,35.70378112792969
AMT_GOODS_PRICE_x,12.79776382446289
NAME_TYPE_SUITE,149.80650329589844
NAME_INCOME_TYPE,135.2831268310547
NAME_EDUCATION_TYPE,225.42112731933594
NAME_FAMILY_STATUS,30.9705753326416
NAME_HOUSING_TYPE,12.801281929016113
REGION_POPULATION_RELATIVE,27.07927131652832
DAYS_BIRTH,42.85136795043945
DAYS_EMPLOYED,61.98869323730469
DAYS_REGISTRATION,14.731257438659668
DAYS_ID_PUBLISH,76.48799133300781
OWN_CAR_AGE,1094.6505126953125
FLAG_EMP_PHONE,34.395050048828125
